Year,Species,MS,UL,JS,BF,FF,RF,CL,FL,
2005,Larix decidua* (Germany),,,,,,,,,
2005,Larix decidua (E-France),,,,,,,,,
2005,Larix decidua (S-Poland),,,,,,,,,
2005,Larix decidua (Czech Republic),,,,,,,,,
2005,Larix decidua (N-Italy),,,,,,,,,
2005,Picea abies (early)* (Germany),118,,,,,,,,
2005,Picea abies (late)* (Germany),118,,,,,,,,
2005,Picea abies (northern) (Norway),,,,,,,,,
2005,Picea abies (late) (E-Poland),,,,,,,,,
2005,Picea abies (average) (E-Poland),,,,,,,,,
2005,Picea abies (E-Germany),,,,,,,,,
2005,Picea abies (E-France),,,,,,,,,
2005,Picea abies (N-Scandinavia),,,,,,,,,
2005,Picea omorika (Croatia),,,,,,,,,
2005,Pinus sylvestris* (Poland),,,,,,,,,
2005,Pinus sylvestris (E-France),,,,,,,,,
2005,Pinus sylvestris (N-Scandinavia),,,,,,,,,
2005,Betula pubescens* (Germany),,96,,,,,,,
2005,Betula pendula (N-Poland),,,,,,,,,
2005,Betula pendula (N-Scandinavia),,,,,,,,,
2005,Fagus sylvatica (Hardegsen)* (Germany),,111,,,,,,,
2005,Fagus sylvatica (Düdelsheim) (Germany),,,,,,,,,
2005,Fagus sylvatica (Trippstadt) (Germany),,,,,,,,,
2005,Fagus sylvatica (Denmark),,,,,,,,,
2005,Fagus orientalis (Balkan),,,,,,,,,
2005,Populus canescens (Germany),,,,,,,,,
2005,Populus tremula* (Germany),,,,,,,,,
2005,Populus tremula (E-Poland),,,,,,,,,
2005,Populus tremula (S-Finland),,,,,,,,,
2005,Populus tremula (Ireland),,,,,,,,,
2005,Populus tremula (Greece),,,,,,,,,
2005,Prunus avium (Bovenden)* (Germany),,,,,,,,,
2005,Prunus avium (Lutter) (Germany),,,,,,,,,
2005,Quercus petraea (Zell/Mosel) (Germany),,,,,,,,,
2005,Quercus petraea, Croatia,,,,,,,,
2005,Quercus robur (Wolfgang)* (Germany),,120,233,,,,279,305,
2005,Quercus robur (Barlohe) (Germany),,,,,,,,,
2005,Quercus robur (Croatia),,,,,,,,,
2005,Robinia pseudoacacia* (USA),,,,,,,,,
2005,Sorbus aucuparia* (Czech Rep.),,,,,,,,,
2005,Sorbus aucuparia (N-Scandinavia),,,,,,,,,
2005,Tilia cordata* (Germany),,111,,,,,,279,
2005,Ribes alpinum* (Austria),,88,,94,108,,263,278,
2005,Salix aurita* (Germany),,118,,,,,293,311,
2005,Salix acutifolia* (Germany),,94,,83,87,,274,305,
2005,Salix smithiana* (Germany),,88,,88,95,,298,305,
2005,Salix glauca (Greenland),,,,,,,,,
2005,Salix viminalis* (Germany),,88,,83,91,,309,323,
2005,Sambucus nigra* (Germany),,35,,,,,,,
2005,Corylus avellana*,,89,,,,,283,311,
